PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
307528163,23031110,4,2023-03-01T16:38:00,"7900 Block Tioga St Pittsburgh, PA 15221",Y,Homewood South,5,AGG-ASSAULT,2702 Aggravated Assault. / 2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2701 Simple Assault. / 2701 Simple Assault.,1304,9,2,-79.88680719,40.45002653
307558931,23042205,10,2023-03-22T15:20:00,"900 Block Proctor Way Pittsburgh, PA 15210",N,Allentown,3,SIMPLE ASSAULT,2701 Simple Assault.,1803,3,5,-79.99122237,40.42046138
307570370,23042137,0,2023-03-22T15:30:00,"1200 Block Elwell St Pittsburgh, PA 15207",N,Lincoln Place,4,99,9999 9999 - (Misc. Incident): ,3102,5,3,-79.91556442,40.36953274
307627444,23040500,10,2023-03-19T13:05:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Point Breeze North,2,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(3) Harassment No Legitimate Purpose / 5503 Disorderly Conduct.,103,6,6,-79.99318468,40.43507182
306928838,23037886,5,2023-03-14T16:22:00,"400 Block Ormsby St Pittsburgh, PA 15210",Y,Mount Oliver,3,BURGLARY,3502 Burglary. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item / 13(a)(16) Possession of Controlled Substance / 3503 Criminal Trespass,1607,3,3,-79.98162324,40.41263205
306033917,23033139,27,2023-03-05T09:07:00,"200 Block Federal St N Pittsburgh, PA 15212",N,North Shore,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2205,1,6,-80.00396354,40.44842131
306034213,23033165,99,2023-03-05T10:46:00,"500 Block Handler St Pittsburgh, PA 15203",N,South Side Slopes,3,LOST PROPERTY,9504 Lost Property,1608,3,3,-79.96329222,40.42023447
306036505,23033163,99,2023-03-05T10:30:00,"1400 Block Woods Run Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),2715,1,1,-80.03335968,40.47619604
306036604,23033160,14,2023-03-05T10:00:00,"2100 Block Peekskill St Pittsburgh, PA 15214",N,Fineview,1,CRIM MISCHIEF,3304 Criminal Mischief.,2509,6,1,-80.00291214,40.46569982
306045739,23033291,6,2023-03-05T15:47:00,"400 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",201,6,6,-79.99932299,40.43878699
306056460,23033377,10,2023-03-05T18:52:00,"300 Block Cedar Ave Pittsburgh, PA 15212",Y,East Allegheny,1,SIMPLE ASSAULT,2701 Simple Assault.,2304,1,1,-80.00090781,40.45089356
306075104,23033543,6,2023-03-06T03:41:00,"2800 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.03012049,40.46995271
307497427,23041900,14,2023-03-22T05:44:00,"Penn Ave & N Highland Ave Pittsburgh, PA 15206",N,East Liberty,5,CRIM MISCHIEF,3304 Criminal Mischief.,1115,9,2,-79.92482135,40.46142207
307534876,23042096,27,2023-03-22T13:46:00,"S 23rd St & E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1609,3,3,-79.97304013,40.42832809
307553963,23042170,6,2023-03-22T16:00:00,"6400 Block Penn Ave Pittsburgh, PA 15206",N,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition. / 2701 Simple Assault.,1115,9,2,-79.91743507,40.45751349
307555580,23042258,0,2023-03-22T18:09:00,"5th Ave & Mc Masters Way Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.0017136,40.44124211
307574549,23042371,0,2023-03-22T22:38:00,"800 Block Inwood St Pittsburgh, PA 15208",N,Homewood West,5,99,9999 9999 - (Misc. Incident): ,1207,9,2,-79.90498079,40.45818295
307580757,23042388,99,2023-03-22T23:42:00,"N Mathilda St & Penn Ave Pittsburgh, PA 15224",N,Central Lawrenceville,2,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,902,7,2,-79.94644995,40.46547443
307585797,23042478,10,2023-03-23T05:21:00,"2200 Block N Charles St Pittsburgh, PA 15214",N,Perry South,1,TERRORISTIC THREATS,2709(a) Harassment. / 2706 Terroristic Threats.,2615,6,1,-80.0198327,40.4632225
306884629,23037765,11,2023-03-14T11:39:00,"4200 Block Haldane St Pittsburgh, PA 15207",N,Greenfield,4,THEFT BY DECEPTION,3922 Theft by Deception.,1516,5,3,-79.94300521,40.42325291
307142188,23038806,27,2023-03-12T16:56:00,"1400 Block Centre Ave Pittsburgh, PA 15219",N,Central Business District,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,201,,,-79.87965532,40.44611968
307255818,23040417,99,2023-03-19T09:37:00,"300 Block Wilbur St Pittsburgh, PA 15210",N,Knoxville,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),3001,4,5,-79.99449647,40.40774639
306339504,23034924,27,2023-03-08T13:30:00,"2500 Block West Liberty Ave Pittsburgh, PA 15226",N,Beechview,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1920,4,5,-80.02549676,40.39919261
306340133,23034940,6,2023-03-08T16:30:00,"500 Block Ross St Pittsburgh, PA 15219",N,Central Business District,2,THEFT FROM AUTO,3934 Theft from Vehicle,201,6,6,-79.99488553,40.43972611
306341405,23034933,99,2023-03-08T17:15:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,MISCELLANEOUS FIRE OTHER INVEST CONTINUED,9123 Miscellaneous Fire Other Investigation to Continue,501,6,3,-79.97998241,40.44358891
306351618,23035005,0,2023-03-08T11:00:00,"800 Block East Ohio St Pittsburgh, PA 15212",N,East Allegheny,1,99,2709.1 Stalking Conduct or Repeatedly Acts Including Follows,2304,1,1,-79.99671093,40.45441867
306358879,23035012,99,2023-03-08T19:30:00,"Mullins St & Evandale Rd Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant / 3334 Turning Movements and Required Signals.,2715,1,1,-80.03187344,40.47008044
306364420,23035095,0,2023-03-09T00:50:00,"Ohio River Blvd & Mckees Rocks Brg Pittsburgh, PA 15212",Y,Brighton Heights,1,DUI - GENERAL IMPAIRMENT,3802(a)(1) DUI - General Impairment,2701,1,1,-80.04385252,40.47956251
307316415,23040952,0,2023-03-20T12:15:00,"1800 Block Beaver Ave Pittsburgh, PA 15233",N,Chateau,1,99,9994 PFA Service,2108,1,1,-79.98817631,40.46474045
307436167,23041489,17,2023-03-20T15:00:00,Zone 3,N,,3,SEXUAL ASSAULT,3124.1 Sexual Assault,,,,,
307607078,23042493,10,2023-03-23T07:00:00,"600 Block Smithfield St Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201,6,6,-79.99740883,40.44153322
307917201,23044837,0,2023-03-24T22:00:00,"1000 Block 5th Ave Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): Ejection-Female Fall,201,6,3,-79.99083966,40.43857278
307139705,23039272,27,2023-03-17T07:50:00,"600 Block Danbury St Pittsburgh, PA 15214",N,Perry South,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2615,,,,
307143042,23039262,0,2023-03-15T10:55:00,"2500 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,3926(a)(4) Theft of services; ACQUISITION OF SERVICES - refusal to pay or offer to pay for a service (hotels and restaurants),2904,4,3,-79.98115114,40.38669249
307169454,23039541,0,2023-03-17T17:30:00,"3100 Block Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,99,9999 9999 - (Misc. Incident): Custody Dispute,1414,5,3,-79.92188198,40.4210077
307192535,23039737,99,2023-03-17T03:00:00,"700 Block 2nd Ave Pittsburgh, PA 15219",N,Bluff,2,MISCELLANEOUS INVESTIGATION,9129 Miscellaneous Investigation,103,6,6,-79.99459105,40.43533467
307207310,23039849,6,2023-03-18T09:15:00,"400 Block Cathedral Ave Pittsburgh, PA 15210",N,Mount Oliver,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1607,3,3,-79.98162584,40.41195524
305775231,23031481,14,2023-03-02T09:20:00,"1200 Block Boyle St Pittsburgh, PA 15212",N,Central North Side,1,CRIM MISCHIEF,3304 Criminal Mischief.,2206,1,1,-80.00565677,40.45613744
306282794,23034673,27,2023-03-08T08:15:00,"800 Block Western Ave Pittsburgh, PA 15233",N,Allegheny West,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2201,1,1,-80.01405944,40.45241527
306285342,23034254,0,2023-03-07T12:33:00,"3600 Block Shadeland Ave Pittsburgh, PA 15212",N,Brighton Heights,1,99,9999 9999 - (Misc. Incident): Non-Reportable Accident,2701,,,,
306288703,23034686,27,2023-03-08T07:58:00,"Beechwood Blvd Ramp & Beechwood Blvd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1408,,,,
306288977,23034665,99,2023-03-08T08:45:00,"400 Block Mt Pleasant Rd Pittsburgh, PA 15214",N,Northview Heights,1,FOUND PROPERTY,9489 Found Property,2609,1,1,-80.00190476,40.47983722
306291315,23034699,11,2023-03-08T00:01:00,"100 Block Secane Ave Pittsburgh, PA 15211",N,Mount Washington,3,IDENTITY THEFT,4120 Identity Theft,1807,3,5,-80.00370905,40.42192538
306327739,23034815,0,2023-03-08T13:18:00,"1100 Block N Lang Ave Pittsburgh, PA 15208",N,Homewood North,5,99,8106 Shots Fired,1301,9,2,-79.89768218,40.46006023
306327918,23034830,99,2023-03-08T14:10:00,"300 Block Roberts St Pittsburgh, PA 15219",N,Bluff,2,FOUND PROPERTY,9489 Found Property,103,6,3,-79.98215253,40.44067895
306330204,23034847,6,2023-03-07T23:45:00,"100 Block N Dithridge St Pittsburgh, PA 15213",N,North Oakland,4,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",404,,,-79.87838243,40.443321
307644765,23042675,0,2023-03-23T11:01:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9993 PFA Service with Weapons Supplement,305,6,3,-79.97998241,40.44358891
307649588,23042703,10,2023-03-23T08:00:00,"4100 Block Evergreen Rd Pittsburgh, PA 15214",N,Summer Hill,1,TERRORISTIC THREATS,2706 Terroristic Threats.,2612,,,,
307671649,23042724,3,2023-03-23T15:00:00,"Cedar Ave & Lockhart St Pittsburgh, PA 15212",N,Allegheny Center,1,ROBBERY,3701 Robbery. / 2702 Aggravated Assault. / 2701 Simple Assault.,2204,1,1,-80.00132315,40.45215706
307675551,23042681,99,2023-03-23T13:45:00,"Grant St Ramp & Blvd Of The Allies Pittsburgh, PA 15219",N,Central Business District,2,FOUND PROPERTY,9489 Found Property,201,6,6,-79.99836616,40.43707175
307684822,23042755,23,2023-03-23T16:05:00,"Strawberry Way & Coffey Way Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.99847008,40.44258897
-3629022276,23042768,0,2023-03-23T16:28:00,"1800 Block Fairywood St Pittsburgh, PA 15205",N,Fairywood,6,99,9999 9999 - (Misc. Incident): Dispute over money,2808,,,,
307314889,23040907,5,2023-03-20T10:49:00,"700 Block Fisher St Pittsburgh, PA 15210",Y,Central Business District,3,BURGLARY,3502 Burglary. / 3304 Criminal Mischief.,1606,3,3,-79.97720867,40.4115109
306135226,23033694,0,2023-03-06T12:52:00,"200 Block 6th Ave Pittsburgh, PA 15222",Y,Central Business District,2,99,601.16 Public Urination And Defecation,201,6,6,-80.00019717,40.44232872
306135341,23033734,0,2023-03-06T14:27:00,"900 Block Saw Mill Run Blvd Pittsburgh, PA 15226",N,Bon Air,3,99,9999 9999 - (Misc. Incident): ,1806,2,5,-80.02285675,40.42695204
-3629021984,23033795,26,2023-03-06T15:56:00,"2400 Block Hobson St Pittsburgh, PA 15226",N,Brookline,6,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,1918,4,5,-80.00940846,40.38937766
306141202,23033829,10,2023-03-06T16:38:00,"2400 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT,2701 Simple Assault.,1919,4,5,-80.02234224,40.40004306
306144427,23033946,0,2023-03-06T17:00:00,"2100 Block Brent St Pittsburgh, PA 15210",N,Arlington,3,99,9999 9999 - (Misc. Incident): ,1603,3,3,-79.97776231,40.41559607
307632311,23042606,0,2023-03-23T11:31:00,"2000 Block Centre Ave Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): Road rage,305,6,3,-79.97998241,40.44358891
307636404,23042558,27,2023-03-23T10:15:00,"2000 Block Smallman St Pittsburgh, PA 15222",N,Strip District,2,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,203,7,6,-79.9844659,40.45166057
307696187,23042852,27,2023-03-23T18:25:00,"300 Block Spahr St Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,705,8,2,-79.92753661,40.45716976
307698433,23042291,11,2023-03-23T19:13:00,"900 Block Freeport Rd Pittsburgh, PA 15238",Y,Lincoln-Lemington-Belmar,5,UNSWORN FALSIFI TO AUTHORITIES,4904 Unsworn Falsification to Authorities. / 6111 Sale of Firearms.,1201,9,2,-79.89235295,40.4861185
307720328,23039077,3,2023-03-16T21:21:00,"5th Ave & Moultrie St Pittsburgh, PA 15219",Y,Bluff,2,ROBBERY,"3701 Robbery. / 2701 Simple Assault. / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b)",103,6,3,-79.97443178,40.43803404
307740151,23043046,6,2023-03-24T03:10:00,"60 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,THEFT FROM AUTO,3934 Theft from Vehicle,1914,2,5,-80.01339719,40.41996377
307742243,23043037,6,2023-03-24T07:24:00,"600 Block Smithfield St Pittsburgh, PA 15222",Y,Central Business District,2,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION",201,6,6,-79.99740883,40.44153322
306463171,23035452,5,2023-03-09T10:00:00,"2700 Block Burham St Pittsburgh, PA 15203",N,South Side Slopes,3,BURGLARY,3502 Burglary.,1608,3,3,-79.96997471,40.42088649
306526641,23035731,6,2023-03-10T09:12:00,"1200 Block Brighton Rd Pittsburgh, PA 15233",Y,Central North Side,1,RETSIL THEFT (SHOPLIFTING),"3929(a)(1) Retail Theft; takes possession of, carries away, or transfers displayed merchandise / 9501 Bench Warrant",2206,1,1,-80.01479919,40.45463672
-3646152608,23035802,99,2023-03-10T11:38:00,"900 Block Manton Way Pittsburgh, PA 15210",N,Allentown,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1803,,,,
306546499,23035916,10,2023-03-10T15:23:00,"2400 Block Chauncey Dr Pittsburgh, PA 15219",Y,Bedford Dwellings,2,HARRASSMENT,2709(a) Harassment.,509,6,3,-79.97462514,40.44984081
306558359,23036000,6,2023-03-10T18:03:00,"5500 Block Centre Ave Pittsburgh, PA 15232",N,Shadyside,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,709,8,2,-79.93645165,40.45657067
306562552,23033623,0,2023-03-03T15:00:00,Zone 5,N,,5,99,6321(a)(1) TSEI(S) Knowingly transmits distributes publishes disseminates electronic comm. w/sexually explicit image of himself,,,,,
308134389,23046344,0,2023-03-30T01:20:00,"100 Block Grasmere St Pittsburgh, PA 15205",N,Oakwood,6,99,9994 PFA Service,2812,2,5,-80.06550891,40.42804891
308169989,23046606,11,2023-03-30T13:49:00,"2800 Block Arlington Ave Pittsburgh, PA 15210",N,Arlington,3,THEFT BY DECEPTION,4106 Access Device Fraud / 3922 Theft by Deception.,1603,3,3,-79.96926808,40.41729644
307279756,23040771,0,2023-03-20T02:09:00,"Boyd St & Watson St Pittsburgh, PA 15219",N,Bluff,2,99,9999 9999 - (Misc. Incident):  / 3353 Prohibitions in Specified Places.,103,6,6,-79.99329957,40.43830222
307318613,23040928,4,2023-03-20T11:35:00,"2100 Block Somers Dr Pittsburgh, PA 15219",N,Central Business District,2,AGG-ASSAULT,2702 Aggravated Assault.,201,,,,
307321698,23040890,99,2023-03-20T07:25:00,"1600 Block Mount Joseph St Pittsburgh, PA 15210",N,Carrick,3,FOUND PROPERTY,9489 Found Property,2901,4,3,-79.99207081,40.39952402
307337267,23040665,6,2023-03-19T19:40:00,"1100 Block Lincoln Ave Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1203,9,2,-79.9000466,40.46424363
307354264,23041137,0,2023-03-20T17:45:00,"4100 Block Butler St Pittsburgh, PA 15201",N,Central Lawrenceville,2,99,9999 9999 - (Misc. Incident): ,902,7,2,-79.96110565,40.46942581
307359181,23041185,0,2023-03-20T19:13:00,"2900 Block Shadeland Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): ,2715,1,1,-80.03040489,40.47070293
307363260,23040965,0,2023-03-20T20:43:00,"7700 Block Susquehanna St Pittsburgh, PA 15221",N,Homewood South,5,99,9994 PFA Service,1304,9,2,-79.89063762,40.45045137
307367358,23041300,14,2023-03-20T23:10:00,"800 Block Herron Ave Pittsburgh, PA 15219",N,Upper Hill,2,CRIM MISCHIEF,3304 Criminal Mischief.,506,6,3,-79.96585762,40.45427104
307368248,23041290,27,2023-03-20T23:19:00,"2200 Block Mazette Rd Pittsburgh, PA 15205",N,Fairywood,6,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2808,,,,
307369970,23041332,5,2023-03-21T02:08:00,"2200 Block Woodward Ave Pittsburgh, PA 15226",Y,Brookline,6,BURGLARY,3502 Burglary. / 3921 Theft by Unlawful Taking or Disposition. / 3503 Criminal Trespass,1917,4,5,-80.0216282,40.40133892
307404459,23041434,0,2023-03-21T09:30:00,"2900 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,99,9994 PFA Service,1702,3,3,-79.96246878,40.42717502
307406021,23041435,0,2023-03-21T09:30:00,"2700 Block S Water St Pittsburgh, PA 15203",N,South Side Flats,3,99,9994 PFA Service,1702,3,3,-79.9650866,40.42878937
307422400,23041524,0,2023-03-21T12:00:00,"700 Block Fisher St Pittsburgh, PA 15210",N,St. Clair,3,99,9994 PFA Service,1606,3,3,-79.97720867,40.4115109
307422566,23041012,14,2023-03-20T13:56:00,"Warfield St & Province Ter Pittsburgh, PA 15212",Y,North Shore,1,INJURY/TAMP/FIRE APP-HYD-ETC,3503(b)(1)(ii) Defiant Trespass Notice Posted by Sign(s),2205,,,,
308135776,23046376,0,2023-03-30T03:15:00,"7900 Block Batavia St Pittsburgh, PA 15221",N,East Hills,5,99,8106 Shots Fired,1306,9,2,-79.88543569,40.45345179
308182341,23046657,99,2023-03-30T17:00:00,"2100 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,MENTAL 201/302,9498 302 (Mental),1609,3,3,-79.97607197,40.42831461
308185278,23046770,10,2023-03-30T19:20:00,"600 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,HARRASSMENT,2709(a) Harassment.,201,6,6,-79.99485606,40.44136297
308250545,23047173,10,2023-03-31T14:47:00,"1100 Block Woodbine St Pittsburgh, PA 15201",Y,Stanton Heights,5,HARRASSMENT,2709(a) Harassment.,1005,9,2,-79.94115896,40.47812423
306332696,23034848,10,2023-03-08T00:01:00,"5700 Block Darlington Rd Pittsburgh, PA 15217",N,Squirrel Hill South,4,HARRASSMENT,2709(a) Harassment.,1413,5,3,-79.92490352,40.43668202
306351452,23034963,6,2023-03-08T18:04:00,"4700 Block Liberty Ave Pittsburgh, PA 15224",N,Bloomfield,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,802,7,2,-79.94985763,40.46207808
306361554,23035075,18,2023-03-08T22:44:00,"Kelly St & Oakwood St Pittsburgh, PA 15221",Y,Homewood South,5,STOLEN PROPERTY,13(a)(32) Paraphernalia - Use or Possession,1304,9,2,-79.88531762,40.45288875
306364460,23035070,21,2023-03-08T22:35:00,"2500 Block Allequippa St Pittsburgh, PA 15213",Y,West Oakland,4,DUI - GENERAL IMPAIRMENT,3802(c) DUI - Highest Rate of Alcohol - BAC >= .16% / 3745 Accidents Involving Damage to Unattended Veh.or Prop. / 7513 Restriction on Alcoholic Beverages - Open Container / 3802(a)(1) DUI - General Impairment,402,6,3,-79.96771374,40.44112611
306423554,23035245,0,2023-03-09T10:30:00,"500 Block Chautauqua St Pittsburgh, PA 15214",N,Perry South,1,99,9999 9999 - (Misc. Incident): ,2614,6,1,-80.01521874,40.46520492
306426580,23035285,14,2023-03-09T10:00:00,"100 Block Monastery Ave Pittsburgh, PA 15203",N,South Side Slopes,3,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1706,6,1,-80.01341222,40.45730166
307755769,23043094,23,2023-03-24T10:21:00,"10th St & Penn Ave Pittsburgh, PA 15222",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness,201,6,6,-79.99561241,40.44446437
307779345,23043224,6,2023-03-23T15:00:00,"1800 Block Forbes Ave Pittsburgh, PA 15219",N,Bluff,2,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,103,6,3,-79.98132364,40.43737202
307783364,23032506,10,2023-03-04T03:06:00,"700 Block Montclair St Pittsburgh, PA 15217",Y,Greenfield,4,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1517,5,3,-79.93314189,40.42042697
307793482,23043320,0,2023-03-24T17:10:00,"1900 Block Wharton St Pittsburgh, PA 15203",Y,South Side Flats,3,99,3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,1702,,,,
307793488,23043215,0,2023-03-24T13:34:00,"Allegheny Sq E Pittsburgh, PA 15212",Y,Allegheny Center,1,99,9999 9999 - (Misc. Incident): ,2204,1,1,-80.00702352,40.45150191
306155224,23034049,14,2023-03-07T01:06:00,"800 Block Memory Ln Pittsburgh, PA 15219",N,Bedford Dwellings,2,CRIM MISCHIEF,3304 Criminal Mischief.,509,,,,
306164328,23034077,26,2023-03-07T04:43:00,"2900 Block Glen Mawr St Pittsburgh, PA 15204",N,Sheraden,6,FALSE RPT LAW ENFORCE AUTH,4906 False Reports to Law Enforcement Authorities.,2018,2,5,-80.05126212,40.45518932
306168353,23034098,14,2023-03-07T06:40:00,"100 Block Mairdale Ave Pittsburgh, PA 15214",N,Perry North,1,CRIM MISCHIEF,3304 Criminal Mischief.,2602,1,1,-80.02068206,40.490313
306226897,23034255,11,2023-03-07T13:05:00,"900 Block Oranmore St Pittsburgh, PA 15201",N,Stanton Heights,5,THEFT BY DECEPTION,3922 Theft by Deception.,1005,9,2,-79.93746473,40.47526114
306245734,23034202,99,2023-03-07T00:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.02196846,40.45121772
306245744,23034203,99,2023-03-07T00:00:00,"1200 Block Western Ave Pittsburgh, PA 15233",N,Chateau,1,DRUG INVESTIGATION,9124 Drug Investigation,2108,6,1,-80.02196846,40.45121772
